,date,aqi,pollutant_id
0,1998-01-31,5.0,
1,1998-02-28,6.666666666666667,
2,1998-03-31,6.8,
3,1998-04-30,7.6,
4,1998-05-31,12.6,
5,1998-06-30,5.6,
6,1998-07-31,11.0,
7,1998-08-31,12.6,
8,1998-09-30,13.4,
9,1998-10-31,7.2,
10,1998-11-30,4.4,
11,1998-12-31,2.5,
12,1999-01-31,11.195238095238096,
13,1999-02-28,13.1875,
14,1999-03-31,20.04351851851852,
15,1999-04-30,12.664285714285716,
16,1999-05-31,15.15,
17,1999-06-30,10.950000000000001,
18,1999-07-31,19.308333333333334,
19,1999-08-31,16.895833333333332,
20,1999-09-30,14.674074074074076,
21,1999-10-31,17.842592592592595,
22,1999-11-30,14.408333333333333,
23,1999-12-31,11.712499999999999,
24,2000-01-31,16.180555555555554,
25,2000-02-29,10.237103174603176,
26,2000-03-31,10.91574074074074,
27,2000-04-30,9.507407407407406,
28,2000-05-31,10.553571428571429,
29,2000-06-30,11.387500000000001,
30,2000-07-31,16.098148148148148,
31,2000-08-31,29.96666666666667,
32,2000-09-30,13.855555555555554,
33,2000-10-31,12.691666666666665,
34,2000-11-30,11.271428571428572,
35,2000-12-31,10.970833333333331,
36,2001-01-31,9.192424242424243,
37,2001-02-28,16.87037037037037,
38,2001-03-31,14.715740740740742,
39,2001-04-30,21.40833333333333,
40,2001-05-31,24.73888888888889,
41,2001-06-30,19.71388888888889,
42,2001-07-31,24.915277777777778,
43,2001-08-31,27.366666666666664,
44,2001-09-30,35.89166666666666,
45,2001-10-31,20.393939393939394,
46,2001-11-30,19.144444444444442,
47,2001-12-31,12.472222222222223,
48,2002-01-31,12.125,
49,2002-02-28,11.141666666666666,
50,2002-03-31,13.972685185185185,
51,2002-04-30,16.673148148148147,
52,2002-05-31,13.933333333333332,
53,2002-06-30,22.602777777777778,
54,2002-07-31,22.87651515151515,
55,2002-08-31,15.560416666666667,
56,2002-09-30,19.575000000000003,
57,2002-10-31,11.358333333333334,
58,2002-11-30,17.447222222222223,
59,2002-12-31,19.37272727272727,
60,2003-01-31,8.674999999999999,
61,2003-02-28,11.598148148148148,
62,2003-03-31,11.356060606060604,
63,2003-04-30,11.791666666666666,
64,2003-05-31,13.933333333333332,
65,2003-06-30,14.18888888888889,
66,2003-07-31,19.058333333333334,
67,2003-08-31,25.852777777777778,
68,2003-09-30,14.432407407407405,
69,2003-10-31,12.774074074074074,
70,2003-11-30,12.194444444444443,
71,2003-12-31,11.93888888888889,
72,2004-01-31,21.774242424242427,
73,2004-02-29,20.48148148148148,
74,2004-03-31,17.453787878787878,
75,2004-04-30,18.445833333333333,
76,2004-05-31,12.957407407407407,
77,2004-06-30,15.700000000000001,
78,2004-07-31,23.650000000000002,
79,2004-08-31,28.88257575757576,
80,2004-09-30,17.219444444444445,
81,2004-10-31,17.5625,
82,2004-11-30,16.650000000000002,
83,2004-12-31,18.755555555555556,
84,2005-01-31,14.5,
85,2005-02-28,11.755555555555555,
86,2005-03-31,12.016666666666666,
87,2005-04-30,15.977777777777776,
88,2005-05-31,16.424242424242422,
89,2005-06-30,19.14097222222222,
90,2005-07-31,28.691666666666666,
91,2005-08-31,31.650000000000002,
92,2005-09-30,25.68703703703704,
93,2005-10-31,19.754545454545454,
94,2005-11-30,20.150000000000002,
95,2005-12-31,23.875,
96,2006-01-31,30.349999999999998,
97,2006-02-28,30.306481481481484,
98,2006-03-31,22.133333333333336,
99,2006-04-30,14.375,
100,2006-05-31,14.3375,
101,2006-06-30,17.71388888888889,
102,2006-07-31,27.66729797979798,
103,2006-08-31,26.49166666666667,
104,2006-09-30,13.674999999999999,
105,2006-10-31,12.010119047619048,
106,2006-11-30,11.506018518518518,
107,2006-12-31,15.037878787878787,
108,2007-01-31,10.629166666666668,
109,2007-02-28,12.013888888888891,
110,2007-03-31,10.59848484848485,
111,2007-04-30,12.337891737891738,
112,2007-05-31,16.16435185185185,
113,2007-06-30,19.16875,
114,2007-07-31,23.325,
115,2007-08-31,27.614109848484848,
116,2007-09-30,16.959722222222222,
117,2007-10-31,13.520998677248679,
118,2007-11-30,17.744708994708997,
119,2007-12-31,12.30952380952381,
120,2008-01-31,11.23474945533769,
121,2008-02-29,15.498015873015873,
122,2008-03-31,11.494949494949495,
123,2008-04-30,17.4712962962963,
124,2008-05-31,14.412037037037038,
125,2008-06-30,14.89722222222222,
126,2008-07-31,24.169805194805196,
127,2008-08-31,21.128051346801346,
128,2008-09-30,17.131501831501833,
129,2008-10-31,12.89861111111111,
130,2008-11-30,11.611111111111109,
131,2008-12-31,12.374338624338625,
132,2009-01-31,9.295138888888888,
133,2009-02-28,13.168192918192917,
134,2009-03-31,15.00595238095238,
135,2009-04-30,11.013888888888888,
136,2009-05-31,13.75363005050505,
137,2009-06-30,11.908333333333333,
138,2009-07-31,19.17222222222222,
139,2009-08-31,17.944444444444443,
140,2009-09-30,16.849999999999998,
141,2009-10-31,7.95,
142,2009-11-30,11.870833333333332,
143,2009-12-31,10.677350427350428,
144,2010-01-31,10.072916666666666,
145,2010-02-28,12.091666666666667,
146,2010-03-31,12.880952380952381,
147,2010-04-30,10.306756756756757,
148,2010-05-31,12.2118993993994,
149,2010-06-30,16.408333333333335,
150,2010-07-31,18.98048552754435,
151,2010-08-31,21.050366300366303,
152,2010-09-30,17.208333333333332,
153,2010-10-31,17.633796296296296,
154,2010-11-30,12.807222222222222,
155,2010-12-31,12.584490740740742,
156,2011-01-31,7.073484848484848,
157,2011-02-28,6.3217592592592595,
158,2011-03-31,8.985858585858585,
